player,asg_mvp_count,league
Kobe Bryant,4,NBA
Bob Pettit,4,NBA
LeBron James,3,NBA
Michael Jordan,3,NBA
Shaquille O'Neal,3,NBA
Oscar Robertson,3,NBA
Bob Cousy,2,NBA
Stephen Curry,2,NBA
Kevin Durant,2,NBA
Julius Erving,2,NBA
Allen Iverson,2,NBA
Magic Johnson,2,NBA
Karl Malone,2,NBA
Isiah Thomas,2,NBA
Russell Westbrook,2,NBA
Giannis Antetokounmpo,1,NBA
Tiny Archibald,1,NBA
Paul Arizin,1,NBA
Charles Barkley,1,NBA
Rick Barry,1,NBA
Elgin Baylor,1,NBA
John Beasley,1,ABA
Dave Bing,1,NBA
Larry Bird,1,NBA
Larry Brown,1,ABA
Wilt Chamberlain,1,NBA
Tom Chambers,1,NBA
Dave Cowens,1,NBA
Mel Daniels,1,ABA
Anthony Davis,1,NBA
Tim Duncan,1,NBA
Walt Frazier,1,NBA
Kevin Garnett,1,NBA
George Gervin,1,NBA
Artis Gilmore,1,ABA
Hal Greer,1,NBA
Spencer Haywood,1,ABA
Kyrie Irving,1,NBA
Dan Issel,1,ABA
Warren Jabali,1,ABA
Bob Lanier,1,NBA
Kawhi Leonard,1,NBA
Freddie Lewis,1,ABA
Damian Lillard,1,NBA
Jerry Lucas,1,NBA
Ed Macauley,1,NBA
George Mikan,1,NBA
Chris Paul,1,NBA
Scottie Pippen,1,NBA
Willis Reed,1,NBA
Glen Rice,1,NBA
Mitch Richmond,1,NBA
Bill Russell,1,NBA
Ralph Sampson,1,NBA
Bill Sharman,1,NBA
Adrian Smith,1,NBA
Randy Smith,1,NBA
John Stockton,1,NBA
Jayson Tatum,1,NBA
David Thompson,1,NBA
David Thompson,1,ABA
Dwyane Wade,1,NBA
Jerry West,1,NBA
Lenny Wilkens,1,NBA
